C:\dev\Miniconda3\python.exe C:/dev/master-thesis-code/optimize_cmdargs.py
Running: ['python', 'C:\\dev\\npfl122\\labs\\03\\q_learning.py', '--alpha=0.44872917461108064', '--epsilon=0.07597094937369145', '--episodes=1000']
[2018-11-19 15:11:56,566] Making new env: MountainCarLimit1000-v0
Episode 130, mean 100-episode return -705.62
Episode 140, mean 100-episode return -666.2
Episode 150, mean 100-episode return -625.42
Episode 160, mean 100-episode return -590.57
Episode 170, mean 100-episode return -560.89
Episode 180, mean 100-episode return -536.31
Episode 190, mean 100-episode return -553.82
Episode 200, mean 100-episode return -544.54
Episode 210, mean 100-episode return -534.73
Episode 220, mean 100-episode return -540.47
Episode 230, mean 100-episode return -533.92
Episode 240, mean 100-episode return -533.16
Episode 250, mean 100-episode return -536.52
Episode 260, mean 100-episode return -533.3
Episode 270, mean 100-episode return -524.76
Episode 280, mean 100-episode return -501.06
Episode 290, mean 100-episode return -462.61
Episode 300, mean 100-episode return -452.52
Episode 310, mean 100-episode return -449.33
Episode 320, mean 100-episode return -431.09
Episode 330, mean 100-episode return -415.73
Episode 340, mean 100-episode return -400.68
Episode 350, mean 100-episode return -387.97
Episode 360, mean 100-episode return -379.92
Episode 370, mean 100-episode return -363.57
Episode 380, mean 100-episode return -358.27
Episode 390, mean 100-episode return -348.37
Episode 400, mean 100-episode return -340.27
Episode 410, mean 100-episode return -330.51
Episode 420, mean 100-episode return -326.32
Episode 430, mean 100-episode return -328.35
Episode 440, mean 100-episode return -333.44
Episode 450, mean 100-episode return -328.36
Episode 460, mean 100-episode return -322.5
Episode 470, mean 100-episode return -321.09
Episode 480, mean 100-episode return -320.32
Episode 490, mean 100-episode return -317.45
Episode 500, mean 100-episode return -320.37
Episode 510, mean 100-episode return -317.31
Episode 520, mean 100-episode return -313.76
Episode 530, mean 100-episode return -306.83
Episode 540, mean 100-episode return -296.86
Episode 550, mean 100-episode return -305.13
Episode 560, mean 100-episode return -309.74
Episode 570, mean 100-episode return -319.76
Episode 580, mean 100-episode return -331.88
Episode 590, mean 100-episode return -337.66
Episode 600, mean 100-episode return -341.96
Episode 610, mean 100-episode return -344.61
Episode 620, mean 100-episode return -345.79
Episode 630, mean 100-episode return -342.96
Episode 640, mean 100-episode return -342.7
Episode 650, mean 100-episode return -331.51
Episode 660, mean 100-episode return -332.91
Episode 670, mean 100-episode return -322.49
Episode 680, mean 100-episode return -301.98
Episode 690, mean 100-episode return -293.9
Episode 700, mean 100-episode return -276.82
Episode 710, mean 100-episode return -268.69
Episode 720, mean 100-episode return -265.55
Episode 730, mean 100-episode return -262.76
Episode 740, mean 100-episode return -259.02
Episode 750, mean 100-episode return -257.16
Episode 760, mean 100-episode return -246.91
Episode 770, mean 100-episode return -244.55
Episode 780, mean 100-episode return -245.64
Episode 790, mean 100-episode return -241.58
Episode 800, mean 100-episode return -242.94
Episode 810, mean 100-episode return -243.06
Episode 820, mean 100-episode return -242.08
